matrix,fabric,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_16MB.cm,8os,1429,0.0042,0.0019,0.0116,0.0232,0.9877,513,0.0020,0.0019,0.0019,0.0019,0.0191,513,0.0020,0.0000,0.0000,0.0000,0.9877,130,0.0077,0.0077,0.0116,0.0135,0.0135,129,0.0078,0.0001,0.0002,0.4900,0.4977,72,0.0140,0.0154,0.0232,0.0328,0.0328,72,0.0140,0.0003,0.1312,0.1408,0.1408
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_64MB.cm,1os,2492,0.0024,0.0019,0.0058,0.0193,0.9869,513,0.0020,0.0019,0.0019,0.0019,0.0188,513,0.0020,0.0000,0.0000,0.0000,0.9869,349,0.0029,0.0019,0.0058,0.0077,0.0077,349,0.0029,0.0000,0.0001,0.1272,0.1484,383,0.0026,0.0019,0.0058,0.0077,0.0077,385,0.0026,0.0001,0.0173,0.0231,0.0308
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_64MB.cm,4os,1571,0.0038,0.0019,0.0096,0.0559,0.9864,513,0.0020,0.0019,0.0019,0.0019,0.0191,513,0.0020,0.0000,0.0000,0.0000,0.9864,130,0.0077,0.0077,0.0116,0.0135,0.0135,129,0.0078,0.0001,0.0002,0.4797,0.5067,144,0.0070,0.0077,0.0135,0.0154,0.0193,142,0.0071,0.0002,0.0616,0.0751,0.0771
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_1024n_64MB.cm,8os,1429,0.0042,0.0019,0.0115,0.0231,0.9855,513,0.0020,0.0019,0.0019,0.0019,0.0189,513,0.0020,0.0000,0.0000,0.0000,0.9855,130,0.0077,0.0077,0.0115,0.0135,0.0135,129,0.0078,0.0001,0.0002,0.4889,0.4966,72,0.0140,0.0154,0.0231,0.0327,0.0327,72,0.0140,0.0003,0.1309,0.1405,0.1405
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_100MB.cm,1os,347,0.0117,0.0104,0.0312,0.1456,0.6657,65,0.0104,0.0104,0.0104,0.0122,0.0122,65,0.0104,0.0002,0.0002,0.6657,0.6657,51,0.0133,0.0104,0.0208,0.0312,0.0312,49,0.0138,0.0002,0.1456,0.2392,0.2392,60,0.0113,0.0104,0.0312,0.0312,0.0312,57,0.0119,0.0004,0.0624,0.0832,0.0832
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_100MB.cm,4os,264,0.0152,0.0049,0.0513,0.2153,0.6561,65,0.0103,0.0103,0.0103,0.0120,0.0120,65,0.0103,0.0002,0.0002,0.6561,0.6561,46,0.0145,0.0103,0.0308,0.0308,0.0308,49,0.0136,0.0002,0.1640,0.2153,0.2153,19,0.0352,0.0308,0.0718,0.0718,0.0718,20,0.0334,0.0009,0.2153,0.2153,0.2153
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_100MB.cm,8os,184,0.0221,0.0104,0.0832,0.6658,0.6658,65,0.0104,0.0104,0.0104,0.0122,0.0122,65,0.0104,0.0002,0.0002,0.6658,0.6658,17,0.0399,0.0416,0.0416,0.0416,0.0416,17,0.0399,0.0008,0.6658,0.6658,0.6658,10,0.0678,0.0832,0.1144,0.1144,0.1144,10,0.0678,0.0017,0.3329,0.3329,0.3329
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_16MB.cm,1os,347,0.0116,0.0103,0.0308,0.1437,0.6571,65,0.0103,0.0103,0.0103,0.0120,0.0120,65,0.0103,0.0002,0.0002,0.6571,0.6571,51,0.0131,0.0103,0.0205,0.0308,0.0308,49,0.0137,0.0002,0.1437,0.2361,0.2361,60,0.0112,0.0103,0.0308,0.0308,0.0308,57,0.0117,0.0004,0.0616,0.0821,0.0821
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_16MB.cm,4os,264,0.0148,0.0047,0.0499,0.2098,0.6393,65,0.0100,0.0100,0.0100,0.0117,0.0117,65,0.0100,0.0002,0.0002,0.6393,0.6393,46,0.0142,0.0100,0.0300,0.0300,0.0300,49,0.0133,0.0002,0.1598,0.2098,0.2098,19,0.0343,0.0300,0.0699,0.0699,0.0699,20,0.0325,0.0009,0.2098,0.2098,0.2098
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/all_workloads_128_1024/matrices/incast_remote_128n_16MB.cm,8os,184,0.0214,0.0101,0.0805,0.6444,0.6444,65,0.0101,0.0101,0.0101,0.0117,0.0117,65,0.0101,0.0002,0.0002,0.6444,0.6444,17,0.0386,0.0403,0.0403,0.0403,0.0403,17,0.0386,0.0007,0.6444,0.6444,0.6444,10,0.0656,0.0805,0.1108,0.1108,0.1108,10,0.0656,0.0016,0.3222,0.3222,0.3222
