matrix,workload,size_MB,nodes,conns,stack,topology,status,wall_s,flows_fin,makespan_us,fct_min_us,fct_p50_us,fct_p99_us,fct_max_us,total_GB,New,Rtx,RTS,Bounced,ACKs,NACKs,Pulls,sleek,spurious,pfc_pauses,pfc_pause_us,max_queue_bytes,slowdown_p50,slowdown_p99,slowdown_max,fairness_jain,overflow
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_100MB.cm,alltoall_moe_rail_aware,100,1024,137216,uet,flat,ok,393,137216,34980.7,29.0,17163.0,31717.9,34980.7,191.200,46903296,3719890,1,0,18965256,3719577,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_100MB.cm,alltoall_moe_rail_aware,100,1024,137216,uet,rail,ok,362,137216,33141.9,29.0,13813.8,28920.9,33141.9,191.200,46903296,3729592,3,0,19916997,3729307,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_16MB.cm,alltoall_moe_rail_aware,16,1024,137216,uet,flat,ok,105,137216,4813.0,5.0,2315.9,4284.1,4813.0,30.592,7543808,744762,0,0,2758751,744758,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_16MB.cm,alltoall_moe_rail_aware,16,1024,137216,uet,rail,ok,60,137216,4679.0,5.0,2176.1,4171.7,4679.0,30.592,7543808,766293,0,0,2706371,766288,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_64MB.cm,alltoall_moe_rail_aware,64,1024,137216,uet,flat,ok,279,137216,21477.6,18.7,11091.9,19646.6,21477.6,122.368,30030848,3817457,0,0,14242903,3817267,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_1024gpu_64MB.cm,alltoall_moe_rail_aware,64,1024,137216,uet,rail,ok,268,137216,19807.0,18.7,9429.8,17479.2,19807.0,122.368,30030848,3834662,0,0,15158096,3834483,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_100MB.cm,alltoall_moe_rail_aware,100,2048,536576,uet,flat,ok,1286,536576,37178.9,29.0,19955.4,34159.6,37178.9,383.199,94003200,17587253,2,0,49792700,17581340,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_100MB.cm,alltoall_moe_rail_aware,100,2048,536576,uet,rail,ok,1262,536576,31203.6,29.0,15948.3,28648.5,31203.6,383.199,94003200,17640897,1,0,51771138,17637204,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_16MB.cm,alltoall_moe_rail_aware,16,2048,536576,uet,flat,ok,144,536576,5387.2,5.0,2867.6,5002.9,5387.2,61.308,15380480,1146667,0,0,5667390,1146651,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_16MB.cm,alltoall_moe_rail_aware,16,2048,536576,uet,rail,ok,141,536576,5038.0,5.0,2568.1,4615.9,5038.0,61.308,15380480,1171865,0,0,5620735,1171848,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_64MB.cm,alltoall_moe_rail_aware,64,2048,536576,uet,flat,ok,884,536576,26133.8,18.7,13416.3,23918.0,26133.8,245.248,60448768,16723302,0,0,31465859,16720394,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
/home/mahmoud_murad_allaah/HTSIM/htsim/sim/datacenter/experiments/runs/rail_optimized/matrices/rail_alltoall_moe_2048gpu_64MB.cm,alltoall_moe_rail_aware,64,2048,536576,uet,rail,ok,818,536576,23449.6,18.7,10863.5,20349.3,23449.6,245.248,60448768,16368685,1,0,31994314,16367463,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0
