matrix,stack,topology,overall_n,overall_mean,overall_p50,overall_p95,overall_p99,overall_max,tier0_up_n,tier0_up_mean,tier0_up_p50,tier0_up_p95,tier0_up_p99,tier0_up_max,tier0_down_n,tier0_down_mean,tier0_down_p50,tier0_down_p95,tier0_down_p99,tier0_down_max,tier1_up_n,tier1_up_mean,tier1_up_p50,tier1_up_p95,tier1_up_p99,tier1_up_max,tier1_down_n,tier1_down_mean,tier1_down_p50,tier1_down_p95,tier1_down_p99,tier1_down_max,tier2_up_n,tier2_up_mean,tier2_up_p50,tier2_up_p95,tier2_up_p99,tier2_up_max,tier2_down_n,tier2_down_mean,tier2_down_p50,tier2_down_p95,tier2_down_p99,tier2_down_max
rail_alltoall_moe_2048gpu_16MB,ib,flat,12288,0.0541,0.0790,0.0837,0.0881,0.0953,4096,0.0417,0.0799,0.0799,0.0799,0.0806,4096,0.0417,0.0798,0.0799,0.0799,0.0799,2048,0.0790,0.0789,0.0871,0.0911,0.0944,2048,0.0790,0.0790,0.0867,0.0900,0.0953,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_2048gpu_16MB,ib,rail,12288,0.0616,0.0845,0.0962,0.0962,0.1056,4096,0.0502,0.0962,0.0962,0.0962,0.0969,4096,0.0502,0.0961,0.0962,0.0962,0.0963,2048,0.0845,0.0845,0.0931,0.0968,0.1056,2048,0.0845,0.0843,0.0935,0.0976,0.0998,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_2048gpu_64MB,ib,flat,12288,0.0503,0.0733,0.0779,0.0822,0.0910,4096,0.0387,0.0742,0.0742,0.0743,0.0746,4096,0.0387,0.0742,0.0742,0.0742,0.0742,2048,0.0733,0.0733,0.0809,0.0846,0.0877,2048,0.0733,0.0732,0.0810,0.0845,0.0910,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_alltoall_moe_2048gpu_64MB,ib,rail,12288,0.0609,0.0835,0.0951,0.0951,0.1043,4096,0.0496,0.0950,0.0951,0.0951,0.0956,4096,0.0496,0.0950,0.0951,0.0951,0.0951,2048,0.0835,0.0835,0.0920,0.0956,0.1043,2048,0.0835,0.0835,0.0922,0.0960,0.1037,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_100MB,uet,flat,6144,0.4582,0.5764,0.5925,0.5931,0.6026,2048,0.3998,0.5903,0.5928,0.5934,0.5985,2048,0.3985,0.5892,0.5896,0.5897,0.5927,1024,0.5769,0.5771,0.5895,0.5946,0.6026,1024,0.5756,0.5758,0.5878,0.5923,0.5973,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_100MB,uet,rail,6144,0.3791,0.4091,0.5411,0.5430,0.5492,2048,0.3650,0.5385,0.5424,0.5439,0.5492,2048,0.3641,0.5380,0.5400,0.5413,0.5438,1024,0.4084,0.4092,0.4246,0.4307,0.4414,1024,0.4077,0.4089,0.4233,0.4298,0.4398,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_16MB,uet,flat,6144,0.3535,0.4455,0.4637,0.4766,0.5007,2048,0.3080,0.4553,0.4554,0.4554,0.4555,2048,0.3080,0.4553,0.4554,0.4554,0.4555,1024,0.4446,0.4455,0.4741,0.4833,0.5007,1024,0.4446,0.4456,0.4728,0.4799,0.4905,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_16MB,uet,rail,6144,0.3187,0.3436,0.4535,0.4535,0.4577,2048,0.3067,0.4534,0.4535,0.4536,0.4577,2048,0.3067,0.4534,0.4535,0.4536,0.4572,1024,0.3427,0.3436,0.3698,0.3793,0.3902,1024,0.3427,0.3436,0.3701,0.3772,0.3937,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_64MB,uet,flat,6144,0.4087,0.5142,0.5279,0.5316,0.5435,2048,0.3564,0.5263,0.5281,0.5288,0.5359,2048,0.3558,0.5260,0.5263,0.5264,0.5317,1024,0.5144,0.5146,0.5288,0.5349,0.5435,1024,0.5138,0.5138,0.5287,0.5355,0.5397,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_1024gpu_64MB,uet,rail,6144,0.3885,0.4184,0.5540,0.5548,0.5590,2048,0.3741,0.5521,0.5546,0.5553,0.5590,2048,0.3734,0.5519,0.5524,0.5525,0.5562,1024,0.4184,0.4188,0.4307,0.4355,0.4426,1024,0.4177,0.4179,0.4292,0.4355,0.4404,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_100MB,uet,flat,12288,0.4569,0.5791,0.5885,0.5932,0.6028,4096,0.3965,0.5860,0.5885,0.5891,0.5937,4096,0.3952,0.5850,0.5853,0.5854,0.5892,2048,0.5797,0.5799,0.5921,0.5968,0.6028,2048,0.5784,0.5785,0.5900,0.5953,0.6003,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_100MB,uet,rail,12288,0.4060,0.4805,0.5477,0.5494,0.5550,4096,0.3694,0.5457,0.5487,0.5512,0.5550,4096,0.3685,0.5451,0.5465,0.5482,0.5506,2048,0.4804,0.4810,0.4945,0.5001,0.5142,2048,0.4797,0.4801,0.4928,0.4983,0.5101,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_16MB,uet,flat,12288,0.3387,0.4298,0.4471,0.4595,0.4827,4096,0.2934,0.4343,0.4344,0.4344,0.4348,4096,0.2934,0.4343,0.4344,0.4344,0.4345,2048,0.4292,0.4300,0.4566,0.4663,0.4785,2048,0.4292,0.4293,0.4563,0.4676,0.4827,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
rail_allreduce_2048gpu_16MB,uet,rail,12288,0.3224,0.3821,0.4339,0.4339,0.4361,4096,0.2931,0.4338,0.4339,0.4339,0.4361,4096,0.2931,0.4338,0.4339,0.4339,0.4348,2048,0.3811,0.3822,0.4065,0.4160,0.4282,2048,0.3811,0.3821,0.4070,0.4157,0.4301,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000
